date,PortfolioValue
2013-03-15,2267297.341589074
2013-03-18,2269755.674736249
2013-03-19,2240356.1686717602
2013-03-20,2240356.1686717602
2013-03-21,2240356.1686717602
2013-03-22,2240356.1686717602
2013-03-25,2240356.1686717602
2013-03-26,2240356.1686717602
2013-03-28,2240356.1686717602
2013-04-01,2240356.1686717602
2013-04-02,2260352.4079764863
2013-04-03,2251965.928284701
2013-04-04,2251965.928284701
2013-04-05,2251965.928284701
2013-04-08,2251965.928284701
2013-04-09,2251965.928284701
2013-04-10,2251965.928284701
2013-04-11,2251965.928284701
2013-04-12,2251965.928284701
2013-04-15,2251965.928284701
2013-04-16,2251965.928284701
2013-04-17,2251965.928284701
2013-04-18,2251965.928284701
2013-04-22,2302605.5011959616
2013-04-23,2318268.940999071
2013-04-25,2350929.339915433
2013-04-26,2331862.9456996387
2013-04-29,2306190.3384590326
2013-04-30,2298683.903252982
2013-05-02,2314181.4860658073
2013-05-03,2319509.0663869544
2013-05-06,2316788.89943405
2013-05-07,2346654.8742835964
2013-05-08,2334479.2939192853
2013-05-09,2340714.2452648976
2013-05-10,2362772.317626146
2013-05-13,2331720.102111608
2013-05-14,2324775.744283724
2013-05-15,2373961.1489577447
2013-05-16,2388844.271985698
2013-05-17,2417689.9790158467
2013-05-20,2394596.8271165253
2013-05-21,2377208.0714250887
2013-05-22,2395809.073217189
2013-05-23,2411943.813191233
2013-05-24,2435208.056283067
2013-05-27,2640751.686928178
2013-05-28,2643634.446930258
2013-05-29,2655451.4547017463
2013-05-30,2714958.4302138686
2013-05-31,2690124.5024763737
2013-06-03,2659438.7915559937
2013-06-04,2651564.5757953315
2013-06-05,2639436.895354741
2013-06-06,2653467.7430638666
2013-06-07,2632750.4887013678
2013-06-10,2619650.418498018
2013-06-11,2619650.418498018
2013-06-12,2619650.418498018
2013-06-13,2619650.418498018
2013-06-14,2619650.418498018
2013-06-17,2619650.418498018
2013-06-18,2619650.418498018
2013-06-19,2619650.418498018
2013-06-20,2619650.418498018
2013-06-21,2619650.418498018
2013-06-24,2619650.418498018
2013-06-25,2619650.418498018
2013-06-26,2619650.418498018
2013-06-27,2619650.418498018
2013-06-28,2619650.418498018
2013-07-01,2619650.418498018
2013-07-02,2619650.418498018
2013-07-03,2619650.418498018
2013-07-04,2619650.418498018
2013-07-05,2619650.418498018
2013-07-08,2619650.418498018
2013-07-09,2619650.418498018
2013-07-10,2619650.418498018
2013-07-11,2619650.418498018
2013-07-12,2619650.418498018
